,addrbunho,address,cafe,cafe_id,image_url,franchise
0,294-24,제주특별자치도 서귀포시 서귀동,여정다방,11877497,,0.0
1,475-8,제주특별자치도 제주시 외도일동,아장아장 베이비카페,1263620627,http://t1.daumcdn.net/place/83909D95B967478D8024DC12AB200F22,0.0
2,175-6,제주특별자치도 서귀포시 대정읍 보성리,소소희,368243275,http://t1.daumcdn.net/place/8395E365EA5B4F04BB9B12AAA3B0F4BF,0.0
3,1325,제주특별자치도 제주시 건입동,항구다방,1571310600,,0.0
4,437-5,제주특별자치도 서귀포시 성산읍 삼달리,두모악무인찻집,13571332,http://t1.daumcdn.net/place/2535E720C72A4A5B9D06BF6EBCC9831D,0.0
5,2162-12,제주특별자치도 제주시 한경면 고산리,24,1343252834,http://t1.daumcdn.net/localfiy/7A4F353282924D72B79662A317278564,0.0
6,27,제주특별자치도 제주시 구좌읍 월정리,템푸스,18756214,http://t1.daumcdn.net/place/385683FE6034429AB09767D980F3DC28,0.0
7,5,제주특별자치도 제주시 우도면 연평리,나포리카페,1082954673,,0.0
8,40-71,제주특별자치도 서귀포시 표선면 표선리,커피가게쉬고가게,23933670,http://t1.daumcdn.net/place/8C1542130B1E4DA2B686606B1C00D8CE,0.0
9,1766-1,제주특별자치도 제주시 이도2동,슬로우,15521226,,0.0
10,2176-12,제주특별자치도 제주시 삼양이동,방방파티 제주삼화점,969286213,,0.0
11,2652,제주특별자치도 제주시 우도면 연평리,뽀요요카페,27495099,http://t1.daumcdn.net/place/CF76BFDD3BA743C29334DA163C7E6D01,0.0
12,398-10,제주특별자치도 서귀포시 성산읍 오조리,행복한차실,25127127,,0.0
13,468-2,제주특별자치도 제주시 조천읍 선흘리,카페아꼬떼,26423460,,0.0
14,6126-13,제주특별자치도 제주시 아라일동,카페일상,1411458986,http://t1.daumcdn.net/localfiy/8933047E9B6842C785770C8AC71B79CB,0.0
15,산 24,제주특별자치도 서귀포시 안덕면 서광리,제주신화월드 풀사이드카페,1776764094,,0.0
16,1338-8,제주특별자치도 제주시 구좌읍 한동리,오스모시스,1569358885,http://t1.daumcdn.net/place/3A185A49B53F4602A9A674E9D947ABBE,0.0
17,1422-2,제주특별자치도 제주시 구좌읍 종달리,르카페하도,29367180,http://t1.daumcdn.net/localfiy/EF3F22B234E546D487290B0E6E33479E,0.0
18,3012-3,제주특별자치도 제주시 아라이동,제주이도작심스페이스,523593877,,0.0
19,1192-14,제주특별자치도 제주시 삼도이동,탑동로17,1734125423,,0.0
20,445-11,제주특별자치도 서귀포시 서홍동,하늘정원,14794664,http://t1.daumcdn.net/place/9228276A2A98437D975BC2488A159BFC,0.0
21,2381,제주특별자치도 서귀포시 표선면 성읍리,이디야커피 제주성읍점,2146177384,,1.0
22,2169-3,제주특별자치도 제주시 영평동,런던아이,423785095,http://t1.daumcdn.net/place/9F1ED7D7CE4E46DEB87096446B1E5C1F,0.0
23,2605-8,제주특별자치도 제주시 아라일동,아라커피,1763917939,,0.0
24,557-9,제주특별자치도 서귀포시 성산읍 고성리,언니앤누나,899167314,http://t1.daumcdn.net/localfiy/searchregister_1947480252,0.0
25,706-12,제주특별자치도 서귀포시 하예동,카페8길,77169837,http://t1.daumcdn.net/place/9BA0B34F4A6746EDA48FB9CA705B3AC7,0.0
26,1009,제주특별자치도 제주시 이도2동,세유카페,21500110,,0.0
27,262-33,제주특별자치도 제주시 연동,신데렐라,10529356,,0.0
28,385-1,제주특별자치도 제주시 조천읍 와흘리,달보드레,2019227130,,0.0
29,3801-10,제주특별자치도 제주시 노형동,미닝풀모먼츠,243570162,,0.0
30,2045-1,제주특별자치도 서귀포시 표선면 성읍리,분홍분홍해,1566296022,,0.0
31,2166-3,제주특별자치도 서귀포시 안덕면 사계리,블루오션,450635424,,0.0
32,459,제주특별자치도 제주시 애월읍 고내리,망고홀릭 애월해안도로점,221879692,http://t1.daumcdn.net/place/6C09B8E7B1084BCC8485977A7D7E25A2,0.0
33,92-2,제주특별자치도 서귀포시 남원읍 남원리,제주 다이어트카페,23680552,,0.0
34,905-1,제주특별자치도 제주시 조천읍 와산리,함와로580,2048608010,,0.0
35,303-8,제주특별자치도 제주시 연동,술탄왕자,15609127,http://t1.daumcdn.net/place/C8575D115CB24E4F8A3365F29E235699,0.0
36,6119-2,제주특별자치도 제주시 아라일동,프레쉬모먼트,572095611,,0.0
37,1269-9,제주특별자치도 제주시 조천읍 함덕리,카페유블레스,1863718416,http://t1.daumcdn.net/localfiy/84C5441049B74E858E99FFE209B2408C,0.0
38,1339,제주특별자치도 서귀포시 강정동,사랑이머무는카페,1041387920,,0.0
39,937-5,제주특별자치도 제주시 노형동,온도커피,1249506544,http://t1.daumcdn.net/localfiy/28AF64D6581E4A93917B0425562F2B07,0.0
40,1312,제주특별자치도 제주시 애월읍 광령리,커피산책,1574963073,http://t1.daumcdn.net/place/99D0E3A66692477781AFA9508509681D,0.0
41,406,제주특별자치도 제주시 용담1동,바라나시책골목,484703392,http://t1.daumcdn.net/place/C855BF58E7934B93A9AD6E7ED4B83AFA,0.0
42,1939-4,제주특별자치도 서귀포시 색달동,베베맘이유식,1874740851,,0.0
43,6102-1,제주특별자치도 제주시 아라일동,사닮과,1157034383,http://t1.daumcdn.net/place/EE8574B21833428D9022DB24C874F48B,0.0
44,2211-4,제주특별자치도 제주시 조천읍 조천리,은주다방,21521006,,0.0
45,476-1,제주특별자치도 제주시 외도일동,심심푸리만화카페 제주외도점,392583573,http://t1.daumcdn.net/place/E04654C565E14FBEBEF19B3106E4BA69,0.0
46,6061-11,제주특별자치도 제주시 아라일동,오운커피,565082614,http://t1.daumcdn.net/localfiy/07D18875E521476AA275761FBA036513,0.0
47,285-3,제주특별자치도 서귀포시 서홍동,메가커피 제주서홍점,1094176770,,0.0
48,1647-4,제주특별자치도 제주시 한경면 낙천리,달아래팥,27417809,http://t1.daumcdn.net/place/8231213DC11449D287A17FEE1ECF59B0,0.0
49,351,제주특별자치도 서귀포시 성산읍 신천리,바람코지무인카페,27543508,,0.0
50,529-7,제주특별자치도 제주시 삼도1동,아이올라,890539012,,0.0
51,6073-10,제주특별자치도 제주시 아라일동,프로파간다,175627742,http://t1.daumcdn.net/localfiy/searchregister_1477486750,0.0
52,272-40,제주특별자치도 서귀포시 서귀동,자유다방,24858466,,0.0
53,6119-1,제주특별자치도 제주시 아라일동,세컨드하우스,669309474,,0.0
54,299-4,제주특별자치도 서귀포시 하효동,메가커피 서귀포효돈점,310541140,,0.0
55,437-7,제주특별자치도 제주시 이도이동,누벨바그,128900657,http://t1.daumcdn.net/localfiy/searchregister_1351307630,0.0
56,1772-3,제주특별자치도 제주시 이도2동,이성필커피,27446225,http://t1.daumcdn.net/place/4641CD3C01E34F83B25960A5B8F9203A,0.0
57,1927-1,제주특별자치도 제주시 이호일동,카페라능,900010274,http://t1.daumcdn.net/place/53417AB001D2489D8C421DFC24A6A13B,0.0
58,2435,제주특별자치도 제주시 조천읍 조천리,듀블라썸,1464121620,,0.0
59,1552-5,제주특별자치도 제주시 오라이동,라이드원,1417482849,,0.0
60,1158,제주특별자치도 제주시 애월읍 고내리,1158족욕카페,1787101427,http://t1.daumcdn.net/place/5678ABE30B67447184E5FD2804A4A2B7,0.0
61,103-9,제주특별자치도 서귀포시 동홍동,카페무이,695425663,,0.0
62,1497-2,제주특별자치도 서귀포시 대정읍 하모리,리틀비틀키즈카페 모슬포점,183413796,,0.0
63,1436-5,제주특별자치도 제주시 애월읍 하귀2리,쿠키키,437994854,http://t1.daumcdn.net/localfiy/searchregister_657448960,0.0
64,518-12,제주특별자치도 제주시 삼도1동,커피다,1372705165,,0.0
65,329-1,제주특별자치도 서귀포시 토평동,제주봄카페,24122047,,0.0
